1	440095.474	5028042.683
1	440088.179	5028022.409
1	440080.882	5028002.13
2	440097.356	5028042.006
2	440090.089	5028021.809
2	440082.764	5028001.452
3	440099.238	5028041.329
3	440091.968	5028021.125
3	440084.646	5028000.775
4	440101.12	5028040.652
4	440093.968	5028020.775
4	440086.528	5028000.098
5	440103.001	5028039.975
5	440095.787	5028019.924
5	440088.41	5027999.421
6	440104.883	5028039.298
6	440097.651	5028019.198
6	440090.292	5027998.744
7	440106.765	5028038.621
7	440099.41	5028018.179
7	440092.174	5027998.067
8	440108.647	5028037.943
8	440101.335	5028017.621
8	440094.055	5027997.39
9	440110.529	5028037.266
9	440103.169	5028016.812
9	440095.937	5027996.713
10	440112.411	5028036.589
10	440105.334	5028016.922
10	440097.819	5027996.035
11	440114.293	5028035.912
11	440107.214	5028016.238
11	440099.701	5027995.358
12	440116.175	5028035.235
12	440108.943	5028015.136
12	440101.583	5027994.681
13	440118.057	5028034.558
13	440110.852	5028014.535
13	440103.465	5027994.004
14	440119.938	5028033.881
14	440112.732	5028013.851
14	440105.347	5027993.327
15	440121.82	5028033.204
15	440115.304	5028015.093
15	440107.229	5027992.65
16	440123.702	5028032.527
16	440114.111	5028005.869
16	440109.111	5027991.973
17	440125.584	5028031.849
17	440116.833	5028007.529
17	440110.992	5027991.296
18	440127.466	5028031.172
18	440118.864	5028007.264
18	440112.874	5027990.618
19	440129.348	5028030.495
19	440120.728	5028006.538
19	440114.756	5027989.941
20	440131.23	5028029.818
20	440122.652	5028005.979
20	440116.638	5027989.264
21	440133.112	5028029.141
21	440124.592	5028005.464
21	440118.52	5027988.587
22	440134.994	5028028.464
22	440126.938	5028006.076
22	440120.402	5027987.91
23	440136.875	5028027.787
23	440129.39	5028006.983
23	440122.284	5027987.233
24	440138.757	5028027.11
24	440131.014	5028005.588
24	440124.166	5027986.556
25	440140.639	5028026.432
25	440132.833	5028004.737
25	440126.048	5027985.879
26	440142.521	5028025.755
26	440134.501	5028003.466
26	440127.929	5027985.201
27	440144.403	5028025.078
27	440136.276	5028002.49
27	440129.811	5027984.524
28	440146.285	5028024.401
28	440138.155	5028001.805
28	440131.693	5027983.847
29	440148.167	5028023.724
29	440139.974	5028000.954
29	440133.575	5027983.17
30	440150.049	5028023.047
30	440141.718	5027999.893
30	440135.457	5027982.493
31	440151.931	5028022.37
31	440143.808	5027999.795
31	440137.339	5027981.816
32	440153.812	5028021.693
32	440145.658	5027999.028
32	440139.221	5027981.139
33	440155.694	5028021.015
33	440147.536	5027998.343
33	440141.103	5027980.462
34	440093.592	5028043.36
34	440086.347	5028022.981
34	440079	5028002.807
